N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
70,한온시스템,"9,370",60,-0.64%,100,"50,017","533,800",16.70,"663,826",111.55,0.89,
71,LG유플러스,"11,170",70,-0.62%,"5,000","48,769","436,611",39.13,"522,423",7.56,8.37,
72,오리온,"123,100",400,-0.32%,500,"48,669","39,536",42.39,"94,556",12.43,16.47,
73,넷마블,"55,500",800,-1.42%,100,"47,704","85,954",22.60,"166,463",-5.86,-14.56,
74,CJ제일제당,"315,000","3,500",-1.10%,"5,000","47,421","15,054",23.49,"46,112",12.79,9.26,
75,HD현대,"59,700",300,+0.51%,"1,000","47,159","78,993",18.39,"117,357",4.16,20.43,
76,현대제철,"34,650","1,100",+3.28%,"5,000","46,239","133,446",24.97,"1,042,260",6.01,5.56,
77,유한양행,"59,300","1,600",-2.63%,"1,000","45,447","76,639",21.15,"254,740",45.48,4.86,
78,TIGER CD금리투자KIS(합성),"52,505",0,0.00%,0,"45,191","86,070",0.01,"253,104",N/A,N/A,
79,미래에셋증권,"7,280",120,-1.62%,"5,000","44,067","605,316",13.47,"443,637",8.17,6.17,
80,한국타이어앤테크놀로지,"35,150",50,-0.14%,500,"43,542","123,875",38.19,"122,947",6.38,8.14,
81,현대건설,"38,450",950,-2.41%,"5,000","42,816","111,356",25.24,"612,089",10.92,5.49,
82,한미약품,"327,000","2,000",+0.62%,"2,500","41,078","12,562",17.42,"53,026",38.60,9.89,
83,SKC,"107,400","2,600",-2.36%,"5,000","40,671","37,868",12.09,"245,785",-19.07,-3.67,
84,현대차2우B,"107,500",400,+0.37%,"5,000","38,830","36,121",62.45,"39,397",3.27,N/A,
85,금호석유,"132,400","1,200",+0.91%,"5,000","38,812","29,314",21.05,"100,386",5.54,19.11,
86,강원랜드,"17,840",70,-0.39%,500,"38,167","213,940",16.91,"458,349",17.12,3.47,
87,GS,"38,750",350,-0.90%,"5,000","36,005","92,915",24.46,"158,398",1.93,18.86,
88,KODEX KOFR금리액티브(합성),"103,285",10,+0.01%,0,"35,920","34,778",0.00,"150,934",N/A,N/A,
89,현대로템,"32,600","1,350",+4.32%,"5,000","35,580","109,142",16.62,"4,914,212",17.58,14.06,
90,삼성카드,"29,950",50,-0.17%,"5,000","34,700","115,859",6.59,"87,624",5.72,8.08,
91,코웨이,"47,000","1,150",-2.39%,500,"34,686","73,800",61.14,"277,740",7.73,21.72,
92,씨에스윈드,"81,500","1,300",-1.57%,500,"34,370","42,171",12.35,"264,903",286.97,-0.11,
93,금양,"58,600","3,300",+5.97%,500,"34,017","58,050",2.90,"7,237,680",-94.82,-24.34,
94,현대오토에버,"121,900","1,400",-1.14%,500,"33,430","27,424",3.49,"46,924",26.16,8.00,
95,삼성증권,"37,050",250,-0.67%,"5,000","33,086","89,300",31.74,"284,018",6.32,6.88,
96,BGF리테일,"188,800","3,100",+1.67%,"1,000","32,632","17,284",33.71,"20,896",16.71,21.85,
97,현대미포조선,"81,400",800,+0.99%,"5,000","32,513","39,942",19.87,"231,211",-413.20,-2.07,
98,한진칼,"48,450",100,+0.21%,"2,500","32,346","66,762",16.42,"120,107",5.14,33.64,
99,NH투자증권,"9,750",60,-0.61%,"5,000","32,337","331,666",13.25,"354,220",8.87,4.32,
100,한국금융지주,"55,000",500,-0.90%,"5,000","30,649","55,726",38.93,"95,810",5.37,8.45,
